time,temp,RH,wind
2018-01-01T00:00,11.8,76,3.7
2018-01-01T01:00,9.0,86,4.8
2018-01-01T02:00,8.1,87,6.5
2018-01-01T03:00,7.9,87,7.9
2018-01-01T04:00,8.1,85,6.1
2018-01-01T05:00,7.8,90,5.8
2018-01-01T06:00,7.2,92,6.5
2018-01-01T07:00,6.8,93,5.4
2018-01-01T08:00,9.5,81,4.9
2018-01-01T09:00,12.9,69,2.6
2018-01-01T10:00,16.1,57,2.5
2018-01-01T11:00,18.0,49,2.9
2018-01-01T12:00,19.1,44,4.0
2018-01-01T13:00,19.9,40,6.7
2018-01-01T14:00,20.0,37,9.2
2018-01-01T15:00,19.8,35,10.2
2018-01-01T16:00,18.9,38,7.9
2018-01-01T17:00,14.6,56,8.1
2018-01-01T18:00,13.0,67,8.9
2018-01-01T19:00,11.6,75,10.3
2018-01-01T20:00,12.4,70,8.7
2018-01-01T21:00,14.2,61,5.1
2018-01-01T22:00,14.0,61,2.6
2018-01-01T23:00,13.8,61,1.3
2018-01-02T00:00,13.2,63,2.9
2018-01-02T01:00,9.9,79,5.1
2018-01-02T02:00,8.2,87,6.5
2018-01-02T03:00,7.9,88,5.1
2018-01-02T04:00,7.8,89,5.8
2018-01-02T05:00,6.4,92,5.8
2018-01-02T06:00,7.2,91,4.5
2018-01-02T07:00,7.1,91,6.4
2018-01-02T08:00,9.9,78,7.6
2018-01-02T09:00,13.3,67,4.4
2018-01-02T10:00,15.9,62,4.5
2018-01-02T11:00,17.6,52,4.8
2018-01-02T12:00,18.8,48,6.5
2018-01-02T13:00,19.5,47,7.4
2018-01-02T14:00,19.8,46,8.8
2018-01-02T15:00,19.8,46,9.6
2018-01-02T16:00,19.0,50,7.9
2018-01-02T17:00,16.3,60,6.3
2018-01-02T18:00,16.0,61,5.8
2018-01-02T19:00,15.1,66,5.9
2018-01-02T20:00,14.6,69,4.7
2018-01-02T21:00,14.1,70,4.0
2018-01-02T22:00,13.1,74,4.3
2018-01-02T23:00,11.1,81,4.7
2018-01-03T00:00,12.4,76,4.0
2018-01-03T01:00,11.0,81,4.3
2018-01-03T02:00,8.4,90,5.8
2018-01-03T03:00,7.9,92,5.8
2018-01-03T04:00,7.6,93,5.2
2018-01-03T05:00,6.8,92,4.6
2018-01-03T06:00,6.9,92,5.6
2018-01-03T07:00,6.9,91,7.0
2018-01-03T08:00,9.4,80,9.4
2018-01-03T09:00,12.6,70,6.3
2018-01-03T10:00,15.4,61,6.6
2018-01-03T11:00,17.1,56,7.7
2018-01-03T12:00,18.4,51,8.7
2018-01-03T13:00,19.3,47,9.8
2018-01-03T14:00,19.8,44,10.2
2018-01-03T15:00,19.7,43,10.7
2018-01-03T16:00,18.8,47,8.7
2018-01-03T17:00,13.4,72,10.0
2018-01-03T18:00,11.9,79,10.2
2018-01-03T19:00,11.2,80,9.9
2018-01-03T20:00,10.6,81,9.7
2018-01-03T21:00,10.0,82,8.3
2018-01-03T22:00,8.8,86,8.0
2018-01-03T23:00,8.2,87,8.6
2018-01-04T00:00,7.7,89,9.4
2018-01-04T01:00,7.3,90,10.0
2018-01-04T02:00,7.2,90,9.4
2018-01-04T03:00,6.9,91,8.4
2018-01-04T04:00,6.6,92,6.6
2018-01-04T05:00,6.2,94,5.4
2018-01-04T06:00,6.1,95,6.2
2018-01-04T07:00,5.9,94,5.9
2018-01-04T08:00,8.6,88,8.1
2018-01-04T09:00,12.2,77,6.3
2018-01-04T10:00,15.4,63,6.4
2018-01-04T11:00,17.6,48,6.7
2018-01-04T12:00,19.0,39,7.0
2018-01-04T13:00,19.9,36,7.2
2018-01-04T14:00,20.2,34,5.8
2018-01-04T15:00,20.1,34,4.0
2018-01-04T16:00,19.0,53,2.3
2018-01-04T17:00,16.3,53,4.9
2018-01-04T18:00,12.3,73,8.7
2018-01-04T19:00,10.6,86,9.4
2018-01-04T20:00,10.1,88,7.9
2018-01-04T21:00,9.9,88,7.2
2018-01-04T22:00,9.4,88,7.4
2018-01-04T23:00,8.9,90,6.9
2018-01-05T00:00,8.4,90,6.8
2018-01-05T01:00,8.2,90,7.2
2018-01-05T02:00,7.8,91,7.0
2018-01-05T03:00,7.1,93,7.2
2018-01-05T04:00,6.6,94,8.9
2018-01-05T05:00,6.8,92,6.0
2018-01-05T06:00,7.3,90,7.3
2018-01-05T07:00,7.7,88,8.0
2018-01-05T08:00,10.4,78,10.5
2018-01-05T09:00,13.6,68,8.4
2018-01-05T10:00,16.2,59,6.8
2018-01-05T11:00,17.9,52,5.4
2018-01-05T12:00,19.1,47,4.3
2018-01-05T13:00,19.9,44,2.9
2018-01-05T14:00,20.2,42,0.8
2018-01-05T15:00,20.2,41,1.1
2018-01-05T16:00,19.6,46,2.7
2018-01-05T17:00,14.4,66,8.1
2018-01-05T18:00,12.7,77,8.0
2018-01-05T19:00,11.2,86,8.9
2018-01-05T20:00,10.2,88,10.7
2018-01-05T21:00,10.2,86,9.7
2018-01-05T22:00,9.9,87,9.0
2018-01-05T23:00,10.6,85,7.2
2018-01-06T00:00,11.4,82,3.9
2018-01-06T01:00,11.4,81,1.3
2018-01-06T02:00,11.2,81,1.8
2018-01-06T03:00,9.4,85,4.0
2018-01-06T04:00,7.2,92,6.2
2018-01-06T05:00,7.7,92,4.0
2018-01-06T06:00,5.4,97,6.1
2018-01-06T07:00,5.6,99,6.2
2018-01-06T08:00,7.8,94,7.6
2018-01-06T09:00,10.6,87,5.4
2018-01-06T10:00,13.9,74,6.6
2018-01-06T11:00,16.5,62,8.2
2018-01-06T12:00,18.0,55,9.2
2018-01-06T13:00,19.0,50,9.3
2018-01-06T14:00,19.5,47,9.5
2018-01-06T15:00,19.5,46,9.2
2018-01-06T16:00,18.5,51,7.1
2018-01-06T17:00,13.8,71,9.7
2018-01-06T18:00,12.2,78,10.7
2018-01-06T19:00,11.2,81,10.9
2018-01-06T20:00,10.6,82,10.6
2018-01-06T21:00,9.9,82,10.8
2018-01-06T22:00,9.5,82,9.8
2018-01-06T23:00,9.3,81,8.6
2018-01-07T00:00,9.1,82,8.0
2018-01-07T01:00,7.9,87,7.3
2018-01-07T02:00,7.8,87,8.0
2018-01-07T03:00,7.4,88,8.6
2018-01-07T04:00,7.2,89,9.4
2018-01-07T05:00,6.5,91,10.8
2018-01-07T06:00,6.2,92,10.4
2018-01-07T07:00,6.1,91,11.2
2018-01-07T08:00,8.2,83,13.3
2018-01-07T09:00,11.1,71,12.2
2018-01-07T10:00,13.9,61,13.1
2018-01-07T11:00,15.9,54,14.6
2018-01-07T12:00,17.5,48,16.3
2018-01-07T13:00,18.4,44,17.1
2018-01-07T14:00,18.8,42,17.2
2018-01-07T15:00,18.8,41,17.1
2018-01-07T16:00,17.9,46,13.5
2018-01-07T17:00,14.9,58,9.5
2018-01-07T18:00,13.8,61,11.2
2018-01-07T19:00,12.9,63,11.9
2018-01-07T20:00,12.2,66,12.3
2018-01-07T21:00,11.4,69,11.7
2018-01-07T22:00,10.7,72,11.3
2018-01-07T23:00,10.1,75,11.7
2018-01-08T00:00,9.7,77,11.3
2018-01-08T01:00,9.1,80,10.9
2018-01-08T02:00,8.8,82,11.0
2018-01-08T03:00,8.4,83,11.3
2018-01-08T04:00,8.1,85,11.6
2018-01-08T05:00,7.4,88,11.9
2018-01-08T06:00,6.9,90,11.5
2018-01-08T07:00,6.8,90,11.5
2018-01-08T08:00,8.9,80,13.0
2018-01-08T09:00,11.9,69,11.3
2018-01-08T10:00,14.6,60,11.3
2018-01-08T11:00,16.8,52,11.8
2018-01-08T12:00,18.2,45,12.7
2018-01-08T13:00,19.1,41,12.2
2018-01-08T14:00,19.5,40,12.2
2018-01-08T15:00,19.5,39,11.7
2018-01-08T16:00,18.6,45,8.4
2018-01-08T17:00,14.1,66,9.8
2018-01-08T18:00,12.8,72,9.9
2018-01-08T19:00,12.1,74,8.4
2018-01-08T20:00,11.1,77,8.7
2018-01-08T21:00,10.4,79,8.1
2018-01-08T22:00,9.4,83,9.5
2018-01-08T23:00,8.6,85,9.8
2018-01-09T00:00,8.3,86,8.8
2018-01-09T01:00,8.0,86,8.1
2018-01-09T02:00,7.5,87,7.6
2018-01-09T03:00,7.3,88,6.6
2018-01-09T04:00,7.1,89,7.2
2018-01-09T05:00,6.2,94,7.6
2018-01-09T06:00,5.8,94,7.6
2018-01-09T07:00,5.8,94,9.0
2018-01-09T08:00,8.3,85,11.2
2018-01-09T09:00,11.8,73,9.6
2018-01-09T10:00,14.8,61,9.6
2018-01-09T11:00,16.9,52,11.2
2018-01-09T12:00,18.2,46,12.6
2018-01-09T13:00,19.2,42,13.0
2018-01-09T14:00,19.8,40,13.0
2018-01-09T15:00,19.8,40,12.9
2018-01-09T16:00,18.9,45,10.2
2018-01-09T17:00,15.1,62,7.6
2018-01-09T18:00,13.9,66,8.8
2018-01-09T19:00,13.0,68,9.0
2018-01-09T20:00,12.2,71,9.6
2018-01-09T21:00,11.6,73,10.0
2018-01-09T22:00,10.9,76,9.9
2018-01-09T23:00,10.2,79,10.0
2018-01-10T00:00,9.6,82,10.0
2018-01-10T01:00,9.1,84,10.3
2018-01-10T02:00,8.9,84,11.2
2018-01-10T03:00,8.6,85,11.7
2018-01-10T04:00,8.3,85,12.2
2018-01-10T05:00,7.6,89,12.4
2018-01-10T06:00,7.3,90,13.4
2018-01-10T07:00,7.3,89,14.4
2018-01-10T08:00,9.4,80,16.9
2018-01-10T09:00,12.4,70,16.1
2018-01-10T10:00,15.2,60,16.8
2018-01-10T11:00,17.5,52,17.3
2018-01-10T12:00,19.1,46,17.9
2018-01-10T13:00,20.3,42,18.1
2018-01-10T14:00,20.8,40,18.7
