time,temp,RH,wind,apparent_temp,heat_risk
2018-01-01T00:00,11.8,76,3.7,30.290000000000006,30.290000000000006
2018-01-01T01:00,9.0,86,4.8,30.020000000000003,30.020000000000003
2018-01-01T02:00,8.1,87,6.5,28.260000000000005,28.260000000000005
2018-01-01T03:00,7.9,87,7.9,27.08,27.08
2018-01-01T04:00,8.1,85,6.1,27.88,27.88
2018-01-01T05:00,7.8,90,5.8,29.439999999999998,29.439999999999998
2018-01-01T06:00,7.2,92,6.5,29.010000000000005,29.010000000000005
2018-01-01T07:00,6.8,93,5.4,29.71,29.71
2018-01-01T08:00,9.5,81,4.9,28.800000000000004,28.800000000000004
2018-01-01T09:00,12.9,69,2.6,29.85,29.85
2018-01-01T10:00,16.1,57,2.5,29.160000000000004,29.160000000000004
2018-01-01T11:00,18.0,49,2.9,28.14,28.14
2018-01-01T12:00,19.1,44,4.0,26.820000000000004,26.820000000000004
2018-01-01T13:00,19.9,40,6.7,24.410000000000004,24.410000000000004
2018-01-01T14:00,20.0,37,9.2,21.770000000000003,21.770000000000003
2018-01-01T15:00,19.8,35,10.2,20.21,20.21
2018-01-01T16:00,18.9,38,7.9,21.909999999999997,21.909999999999997
2018-01-01T17:00,14.6,56,8.1,23.41,23.41
2018-01-01T18:00,13.0,67,8.9,24.88,24.88
2018-01-01T19:00,11.6,75,10.3,25.14,25.14
2018-01-01T20:00,12.4,70,8.7,25.41,25.41
2018-01-01T21:00,14.2,61,5.1,26.759999999999998,26.759999999999998
2018-01-01T22:00,14.0,61,2.6,28.310000000000002,28.310000000000002
2018-01-01T23:00,13.8,61,1.3,29.02000000000001,29.02000000000001
2018-01-02T00:00,13.2,63,2.9,27.96,27.96
2018-01-02T01:00,9.9,79,5.1,28.4,28.4
2018-01-02T02:00,8.2,87,6.5,28.36,28.36
2018-01-02T03:00,7.9,88,5.1,29.370000000000005,29.370000000000005
2018-01-02T04:00,7.8,89,5.8,29.11,29.11
2018-01-02T05:00,6.4,92,5.8,28.700000000000003,28.700000000000003
2018-01-02T06:00,7.2,91,4.5,30.080000000000005,30.080000000000005
2018-01-02T07:00,7.1,91,6.4,28.650000000000006,28.650000000000006
2018-01-02T08:00,9.9,78,7.6,26.32,26.32
2018-01-02T09:00,13.3,67,4.4,28.33,28.33
2018-01-02T10:00,15.9,62,4.5,29.21,29.21
